5/4/2014,5/5/2014,5/6/2014,5/7/2014,5/8/2014,5/9/2014,5/10/2014
-0.981962741,-0.9851745469,-1,-1,0.3977446815,0.827366596,-1
-0.9736289835,-0.9861166916,-1,-1,0.4240411854,0.8133254283,-1
-0.9639548907,-0.9870006749,-1,-1,0.4506463061,0.7966397693,-1
-0.9526638002,-0.9878234863,-1,-1,0.477432756,0.7776835889,-1
-0.9396490279,-0.9885978528,-1,-1,0.4938829167,0.7573817572,-0.9967059842
-0.9255401408,-0.9893223373,-1,-1,0.5290972257,0.7355982792,-0.9877593516
-0.9104560136,-0.9899988559,-1,-1,0.5527049907,0.712093809,-0.9760062626
-0.8950910228,-0.9906332931,-1,-1,0.5740094192,0.6870358756,-0.962150773
-0.8798466972,-0.9912277701,-1,-1,0.5935908761,0.6599369736,-0.9462032156
-0.8649362674,-0.9917848185,-1,-1,0.6108964925,0.6307673967,-0.9290189604
-0.8511747063,-0.9923081334,-1,-1.0000142665,0.6259284314,0.5997850327,-0.9110526568
-0.8387284797,-0.9927955935,-1,-1,0.6390427312,0.5669989566,-0.8936984742
-0.826830619,-0.9932519203,-1,-1,0.6498385865,0.4584259281,-0.8776291155
-0.8158405719,-0.9936814928,-1,-1,0.6581002244,0.2390779837,-0.863083017
-0.8053844275,-0.994081711,-1,-1,0.6638212871,0.0899152797,-0.8505488705
-0.7954702438,-0.9944581173,-1,-1,0.6677466236,-0.0230097543,-0.8399668015
-0.7855249295,-0.9948070167,-1,-1,0.6698018409,-0.0520976028,-0.8308101129
-0.7754030941,-0.9951391519,-0.9992194379,-1,0.6700267245,-0.0672662988,-0.8229647175
-0.7655677699,-0.995447749,-0.9841444484,-1,0.6692004034,-0.0848088223,-0.8167909239
-0.756267588,-0.9957369817,-0.9674563868,-1,0.6677384305,-0.1042847222,-0.8123152721
-0.747535332,-0.9960054132,-0.950512408,-1,0.6654954279,-0.1249837687,-0.8095494397
-0.7390143091,-0.9962589281,-0.9338765773,-1,0.6624049988,-0.1464582207,-0.8083658927
-0.7307700864,-0.9964962946,-0.9190015232,-1,0.6584988013,-0.1687735281,-0.8077035226
-0.7227594116,-0.996718813,-0.9084452866,-1,0.6533107475,-0.190865299,-0.8063834534
-0.7149964727,-0.9969268936,-0.8873882998,-1,0.6467642814,-0.2122282359,-0.803199349
-0.708148028,-0.9971216313,-0.8735324563,-1,0.6388534383,-0.232849444,-0.7982190814
-0.7024389475,-0.9973046683,-0.8602232681,-1,0.6295809712,-0.2528788799,-0.7914952353
-0.6972682463,-0.9974759363,-0.852471577,-1,0.6188263435,-0.2733044482,-0.7828388453
-0.6927095497,-0.9976348877,-0.8344683296,-1,0.6070127768,-0.293869346,-0.7725832549
-0.689241111,-0.9977874072,-0.8273473021,-1,0.5944710749,-0.3135644162,-0.7612358401
-0.6862868772,-0.9979256942,-0.8111738354,-0.9994839439,0.5803833063,-0.3314578044,-0.7488327664
-0.6835798283,-0.998057344,-0.8004873753,-0.9951737809,0.5648835098,-0.3464367366,-0.7352864158
-0.6817330017,-0.9981820145,-0.7896166208,-0.9873620608,0.5480847172,-0.358618371,-0.7199342768
-0.6808769806,-0.9982960107,-0.778361141,-0.9761973349,0.5300087876,-0.3685862193,-0.7025417348
-0.6815412596,-0.9984043275,-0.7711655181,-0.9625267397,0.5103622121,-0.3759568122,-0.6839283482
-0.6841302604,-0.9985066914,-0.7513493341,-0.9474631872,0.4889084074,-0.3809225033,-0.66451614
-0.6877245299,-0.9986002969,-0.7347600725,-0.9318789574,0.4655172018,-0.3833976977,-0.6455426573
-0.6913046116,-0.9986892495,-0.7168474861,-0.9155311766,0.440398666,-0.3834121649,-0.6266632327
-0.6954172185,-0.9987734123,-0.6979540484,-0.8986391381,0.414312626,-0.3808129024,-0.6068934762
-0.7000890044,-0.9988501852,-0.6787238699,-0.8826163218,0.244674958,-0.3757990764,-0.585802872
-0.7053743789,-0.9989232632,-0.659463471,-0.867362493,0.1152229294,-0.3685800496,-0.5634363967
-0.711385467,-0.9989923725,-0.6404642975,-0.8527106845,0.0255934128,-0.3584708854,-0.5394691286
-0.7178828666,-0.9990579922,-0.6295552544,-0.8382003599,-0.0222512001,-0.3445649291,-0.5136731415
-0.7244731069,-0.9991147165,-0.6033349795,-0.8235857231,-0.0311769976,-0.3286798972,-0.4860044848
-0.7308809029,-0.9991726726,-0.5854773488,-0.8094385542,-0.0422676358,-0.3105328965,-0.4073625212
-0.7364089165,-0.9992235124,-0.5624344902,-0.796003086,-0.0557865057,-0.185193513,-0.2120031215
-0.7413272674,-0.9992742838,-0.5390310754,-0.7835869545,-0.0713443993,-0.0706284807,-0.0732333299
-0.7458716384,-0.9993182127,-0.5145053329,-0.7726280666,-0.0885451443,0.0168795144,0.0072053305
-0.7500048383,-0.9993620731,-0.4892585135,-0.7634447271,-0.1074118371,0.0392103274,0.0185813151
-0.7539183337,-0.9994027176,-0.4632305658,-0.7577017846,-0.1281234472,0.0506195678,0.0318863056
-0.7574429039,-0.9994398724,-0.4362116108,-0.7538389066,-0.1507687631,0.0644610154,0.0464493565
-0.7603288157,-0.9994770272,-0.4199045236,-0.7512443552,-0.1750735951,0.0804882284,0.062367817
-0.7630448181,-0.9995087765,-0.1635203023,-0.7490470732,-0.2006588087,0.0978151462,0.0795537222
-0.7657521426,-0.9995404573,-0.0505687075,-0.7465082454,-0.2270213487,0.116172203,0.0976022204
-0.7685717298,-0.9995695379,0.0093164932,-0.7445168015,-0.2541794694,0.1354473724,0.1158333854
-0.7715318178,-0.9995958816,0.0230896732,-0.7434906693,-0.2816901219,0.1555879591,0.1336834433
-0.7744176608,-0.9996222937,0.0400632951,-0.7428298674,-0.3102460801,0.1763045003,0.1515386677
-0.7772132803,-0.9996462424,0.0515340638,-0.7410967912,-0.33942776,0.1971367153,0.169589121
-0.7799850697,-0.9996675226,0.0840951492,-0.7381261046,-0.3696554666,0.2178426182,0.1882344796
-0.7822831515,-0.9996888712,0.1092068884,-0.7335379346,-0.4015481378,0.2388735224,0.2076822693
-0.7828636811,-0.9997101514,0.1346513254,-0.7272860034,-0.4347221409,0.2606260163,0.2282159206
-0.7824565734,-0.999726984,0.1604340602,-0.7202121471,-0.4692034643,0.2826414343,0.2493788555
-0.7799093096,-0.9997436797,0.1866612355,-0.7123444994,-0.502897433,0.3047241472,0.2709238439
-0.7753418661,-0.9997603754,0.2131748847,-0.7034700869,-0.5344529098,0.3261267079,0.2920576024
